337	55
333	55
329	59
324	61
318	63
313	66
299	68
285	71
269	72
252	77
236	79
230	81
228	92
230	99
232	105
233	112
233	120
237	129
240	136
243	140
246	143
250	146
254	147
260	147
264	147
267	147
276	147
286	147
299	144
311	138
321	133
328	117
337	106
343	89
342	72
341	60
341	56
334	71
333	84
333	91
332	100
326	107
318	115
307	120
295	129
286	133
273	136
250	125
243	107
241	100
256	87
281	84
316	82
324	72
331	69
316	84
303	94
280	92
276	90
265	108
270	114
272	120
296	109
302	94
312	95
317	100
326	95
326	79
308	77
300	84
289	93
289	101
290	119
290	121
266	128
266	128
252	109
251	103
263	96
267	92
268	84
245	86
243	87
242	101
247	128
255	131
259	138
269	114
273	108
277	107
298	105
306	105
309	105
327	88
335	120
319	123
315	128
302	133
292	137
284	139
278	139
260	128
254	120
241	102
240	102
242	121
257	130
276	129
300	60
298	59
286	54
277	60
251	28
268	11
253	17
240	23
241	36
246	39
262	40
274	31
278	24
279	17
276	19
271	23
265	27
265	27
262	30
263	31
276	13
272	14
269	15
269	15
268	17
268	23
263	26
259	29
255	30
251	30
250	22
257	20
262	19
263	16
263	10
255	10
251	10
245	18
240	24
238	29
238	31
242	35
246	38
252	40
256	40
259	39
270	37
278	36
278	34
268	30
268	24
268	26
268	23
260	21
257	25
253	29
248	33
246	33
246	33
263	36
264	36
269	33
266	20
266	17
255	15
241	11
241	11
246	24
249	27
256	24
260	19
258	18
251	16
246	27
246	30
248	31
254	33
254	34
247	20
251	14
253	11
262	11
265	10
262	6
240	12
220	18
260	22
254	28
255	32
259	34
265	33
267	32
274	45
269	52
267	62
294	40
296	51
285	41
280	51
291	34
262	48
244	44
230	67
252	65
239	51
242	62
288	23
296	33
313	55
328	47
314	40
304	29
308	48
237	31
230	54
226	65
233	39
253	48
